service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
64553,1,1,1,1,1,0,0,20231021,20250501
60108,0,0,0,0,0,1,0,20231021,20250501
64561,0,0,0,0,0,0,1,20231021,20250501
66459,1,1,1,1,1,0,0,20240304,20250501
66490,0,0,0,0,0,1,0,20240304,20250501
66493,0,0,0,0,0,0,1,20240304,20250501
67107,1,1,1,1,1,0,0,20240304,20250501
66453,0,0,0,0,0,1,0,20240304,20250501
66451,0,0,0,0,0,0,1,20240304,20250501
64889,1,1,1,1,1,0,0,20231201,20250501
62086,0,0,0,0,0,1,0,20230703,20250501
62291,0,0,0,0,0,0,1,20230703,20250501
64925,1,1,1,1,1,0,0,20231201,20250501
64926,0,0,0,0,0,1,0,20231201,20250501
64927,0,0,0,0,0,0,1,20231201,20250501
65933,1,1,1,1,1,0,0,20240201,20250501
63068,0,0,0,0,0,1,0,20230801,20250501
63067,0,0,0,0,0,0,1,20230801,20250501
66651,1,1,1,1,1,0,0,20240318,20250501
66766,0,0,0,0,0,1,0,20240318,20250501
66396,1,1,1,1,1,0,0,20240304,20250501
66495,0,0,0,0,0,1,0,20240304,20250501
66508,0,0,0,0,0,0,1,20240304,20250501
60811,1,1,1,1,1,0,0,20230901,20250501
64444,1,1,1,1,1,0,0,20231201,20250501
64446,1,1,1,1,1,0,0,20231201,20250501
64445,1,1,1,1,1,0,0,20231201,20250501
48764,0,0,0,0,0,1,0,20230901,20250501
48765,0,0,0,0,0,0,1,20230901,20250501
60343,1,1,1,1,1,0,0,20230901,20250501
63225,1,1,1,1,1,0,0,20230901,20250501
60523,0,0,0,0,0,1,0,20230601,20250501
59696,0,0,0,0,0,0,1,20230601,20250501
67284,1,1,1,1,1,0,0,20231001,20250501
67282,0,0,0,0,0,1,0,20230601,20250501
67278,0,0,0,0,0,0,1,20230601,20250501
66497,1,1,1,1,1,0,0,20240304,20250501
66691,1,1,1,1,1,0,0,20240318,20250501
66694,0,0,0,0,0,1,0,20240318,20250501
66695,0,0,0,0,0,0,1,20240318,20250501
66367,1,1,1,1,1,0,0,20240304,20250501
66393,0,0,0,0,0,1,0,20240304,20250501
66395,0,0,0,0,0,0,1,20240304,20250501
60783,1,1,1,1,1,0,0,20230404,20250501
60784,1,1,1,1,1,0,0,20230404,20250501
60363,0,0,0,0,0,1,0,20230404,20250501
60364,0,0,0,0,0,1,0,20230404,20250501
60378,0,0,0,0,0,0,1,20230404,20250501
60379,0,0,0,0,0,0,1,20230404,20250501
66394,1,1,1,1,1,0,0,20240304,20250501
66400,0,0,0,0,0,1,0,20240304,20250501
66408,0,0,0,0,0,0,1,20240304,20250501
66409,1,1,1,1,1,0,0,20240304,20250501
66431,0,0,0,0,0,1,0,20240304,20250501
66443,0,0,0,0,0,0,1,20240304,20250501
66464,1,1,1,1,1,0,0,20240304,20250501
66473,0,0,0,0,0,1,0,20240304,20250501
66477,0,0,0,0,0,0,1,20240304,20250501
65017,1,1,1,1,1,0,0,20231201,20250501
50737,0,0,0,0,0,1,0,20210901,20250501
51357,0,0,0,0,0,0,1,20210901,20250501
48954,1,1,1,1,1,0,0,20230901,20250501
64181,1,1,1,1,1,0,0,20231201,20250501
64272,0,0,0,0,0,1,0,20231201,20250501
64270,0,0,0,0,0,0,1,20231201,20250501
53699,1,1,1,1,1,0,0,20230901,20250501
62877,0,0,0,0,0,1,0,20230901,20250501
62876,0,0,0,0,0,0,1,20230901,20250501
59962,1,1,1,1,1,0,0,20230901,20250501
38440,0,0,0,0,0,1,0,20191001,20250501
38441,0,0,0,0,0,0,1,20191001,20250501
64995,1,1,1,1,1,0,0,20231201,20250501
60384,1,1,1,1,1,0,0,20231021,20250501
60389,0,0,0,0,0,1,0,20231021,20250501
64549,0,0,0,0,0,0,1,20231021,20250501
47169,1,1,1,1,1,0,0,20220801,20250501
66003,1,1,1,1,1,0,0,20240201,20250501
61825,0,0,0,0,0,1,0,20240201,20250501
66012,0,0,0,0,0,0,1,20240201,20250501
64928,1,1,1,1,1,0,0,20231201,20250501
66253,1,1,1,1,1,0,0,20240304,20250501
66242,0,0,0,0,0,1,0,20240304,20250501
66379,0,0,0,0,0,0,1,20240304,20250501
66392,1,1,1,1,1,0,0,20240304,20250501
66444,0,0,0,0,0,1,0,20240304,20250501
66551,0,0,0,0,0,0,1,20240304,20250501
66226,1,1,1,1,1,0,0,20240115,20250501
65943,0,0,0,0,0,1,0,20240115,20250501
65942,0,0,0,0,0,0,1,20240115,20250501
66837,1,1,1,1,1,0,0,20240401,20250501
64699,0,0,0,0,0,1,0,20231201,20250501
64997,0,0,0,0,0,0,1,20231201,20250501
64994,0,0,0,0,0,1,0,20231201,20250501
64973,0,0,0,0,0,0,1,20231201,20250501
61658,1,1,1,1,1,0,0,20230601,20250501
66447,1,1,1,1,1,0,0,20240304,20250501
66452,0,0,0,0,0,1,0,20240304,20250501
66556,0,0,0,0,0,0,1,20240304,20250501
65982,1,1,1,1,1,0,0,20240201,20250501
65969,0,0,0,0,0,1,0,20240201,20250501
65974,0,0,0,0,0,0,1,20240201,20250501
64971,1,1,1,1,1,0,0,20231201,20250501
65003,0,0,0,0,0,1,0,20231201,20250501
65005,0,0,0,0,0,0,1,20231201,20250501
66479,1,1,1,1,1,0,0,20240304,20250501
66484,0,0,0,0,0,1,0,20240304,20250501
66487,0,0,0,0,0,0,1,20240304,20250501
67018,1,1,1,1,1,0,0,20230901,20250501
62343,0,0,0,0,0,1,0,20230801,20250501
62604,0,0,0,0,0,0,1,20230801,20250501
65030,1,1,1,1,1,0,0,20231201,20250501
65042,0,0,0,0,0,1,0,20231201,20250501
65043,0,0,0,0,0,0,1,20231201,20250501
66685,1,1,1,1,1,0,0,20240318,20250501
66848,1,1,1,1,1,0,0,20240401,20250501
35512,1,1,1,1,1,0,0,20190301,20250501
66696,1,1,1,1,1,0,0,20240318,20250501
66761,0,0,0,0,0,1,0,20240318,20250501
66698,0,0,0,0,0,0,1,20240318,20250501
60738,1,1,1,1,1,0,0,20230417,20250501
35337,0,0,0,0,0,1,0,20210705,20250501
35338,0,0,0,0,0,0,1,20210705,20250501
65071,1,1,1,1,1,0,0,20231201,20250501
65059,0,0,0,0,0,1,0,20231201,20250501
65063,0,0,0,0,0,0,1,20231201,20250501
66653,1,1,1,1,1,0,0,20240304,20250501
66654,0,0,0,0,0,1,0,20240304,20250501
