service_id,date,exception_type
64553,20250224,2
64553,20250330,2
64553,20250501,2
64553,20240623,2
64553,20240624,2
64553,20240820,2
64553,20241224,2
64553,20241225,2
64553,20241226,2
60108,20250101,2
60108,20250224,2
60108,20250330,2
60108,20250501,2
60108,20240623,2
60108,20240624,2
60108,20240820,2
60108,20241224,2
60108,20241225,2
60108,20241226,2
64561,20250101,1
64561,20250224,1
64561,20250330,1
64561,20250501,1
64561,20240623,1
64561,20240624,1
64561,20240820,1
64561,20241224,1
64561,20241225,1
64561,20241226,1
66459,20250101,2
66459,20250224,2
66459,20250330,2
66459,20250501,2
66459,20240623,2
66459,20240624,2
66459,20240820,2
66459,20241224,2
66459,20241225,2
66459,20241226,2
66490,20250101,2
66490,20250224,2
66490,20250330,2
66490,20250501,2
66490,20240623,2
66490,20240624,2
66490,20240820,2
66490,20241224,2
66490,20241225,2
66490,20241226,2
66493,20250101,1
66493,20250224,1
66493,20250330,1
66493,20250501,1
66493,20240623,1
66493,20240624,1
66493,20240820,1
66493,20241224,1
66493,20241225,1
66493,20241226,1
67107,20250101,2
67107,20250224,2
67107,20250330,2
67107,20250501,2
67107,20240623,2
67107,20240624,2
67107,20240820,2
67107,20241224,2
67107,20241225,2
67107,20241226,2
66453,20250101,2
66453,20250224,2
66453,20250330,2
66453,20250501,2
66453,20240623,2
66453,20240624,2
66453,20240820,2
66453,20241224,2
66453,20241225,2
66453,20241226,2
66451,20250101,1
66451,20250224,1
66451,20250330,1
66451,20250501,1
66451,20240623,1
66451,20240624,1
66451,20240820,1
66451,20241224,1
66451,20241225,1
66451,20241226,1
64889,20250101,2
64889,20250224,2
64889,20250330,2
64889,20250501,2
64889,20240623,2
64889,20240624,2
64889,20240820,2
64889,20241224,2
64889,20241225,2
64889,20241226,2
62086,20250101,2
62086,20250224,2
62086,20250330,2
62086,20250501,2
62086,20240623,2
62086,20240624,2
62086,20240820,2
62086,20241224,2
62086,20241225,2
62086,20241226,2
62291,20250101,1
62291,20250224,1
62291,20250330,1
62291,20250501,1
62291,20240623,1
62291,20240624,1
62291,20240820,1
62291,20241224,1
62291,20241225,1
62291,20241226,1
64925,20250101,2
64925,20250224,2
64925,20250330,2
64925,20250501,2
64925,20240623,2
64925,20240624,2
64925,20240820,2
64925,20241224,2
64925,20241225,2
64925,20241226,2
64926,20250101,2
64926,20250224,2
64926,20250330,2
64926,20250501,2
64926,20240623,2
64926,20240624,2
64926,20240820,2
64926,20241224,2
64926,20241225,2
64926,20241226,2
64927,20250101,1
64927,20250224,1
64927,20250330,1
64927,20250501,1
64927,20240623,1
64927,20240624,1
64927,20240820,1
64927,20241224,1
64927,20241225,1
64927,20241226,1
65933,20250101,2
65933,20250224,2
65933,20250330,2
65933,20250501,2
65933,20240623,2
65933,20240624,2
65933,20240820,2
65933,20241224,2
65933,20241225,2
65933,20241226,2
63068,20250101,2
63068,20250224,2
63068,20250330,2
63068,20250501,2
63068,20240623,2
63068,20240624,2
63068,20240820,2
63068,20241224,2
63068,20241225,2
63068,20241226,2
63067,20250101,1
63067,20250224,1
63067,20250330,1
63067,20250501,1
63067,20240623,1
63067,20240624,1
63067,20240820,1
63067,20241224,1
63067,20241225,1
63067,20241226,1
66651,20250101,2
66651,20250224,2
66651,20250330,2
66651,20250501,2
66651,20240623,2
66651,20240624,2
66651,20240820,2
66651,20241224,2
66651,20241225,2
66651,20241226,2
66766,20250101,2
66766,20250224,2
66766,20250330,2
66766,20250501,2
66766,20240623,2
66766,20240624,2
66766,20240820,2
66766,20241224,2
66766,20241225,2
66766,20241226,2
66396,20250101,2
66396,20250224,2
66396,20250330,2
66396,20250501,2
66396,20240623,2
66396,20240624,2
66396,20240820,2
66396,20241224,2
66396,20241225,2
66396,20241226,2
66495,20250101,2
66495,20250224,2
66495,20250330,2
66495,20250501,2
66495,20240623,2
66495,20240624,2
66495,20240820,2
66495,20241224,2
66495,20241225,2
66495,20241226,2
66508,20250101,1
66508,20250224,1
66508,20250330,1
66508,20250501,1
66508,20240623,1
66508,20240624,1
66508,20240820,1
66508,20241224,1
66508,20241225,1
66508,20241226,1
60811,20250101,2
60811,20250224,2
60811,20250330,2
60811,20250501,2
60811,20240623,2
60811,20240624,2
60811,20240820,2
60811,20241224,2
60811,20241225,2
60811,20241226,2
64444,20250101,2
64444,20250224,2
64444,20250330,2
64444,20250501,2
64444,20240623,2
64444,20240624,2
64444,20240820,2
64444,20241224,2
64444,20241225,2
64444,20241226,2
64446,20250101,2
64446,20250224,2
64446,20250330,2
64446,20250501,2
64446,20240623,2
64446,20240624,2
64446,20240820,2
64446,20241224,2
64446,20241225,2
64446,20241226,2
64445,20250101,2
64445,20250224,2
64445,20250330,2
64445,20250501,2
64445,20240623,2
64445,20240624,2
64445,20240820,2
64445,20241224,2
64445,20241225,2
64445,20241226,2
48764,20250101,2
48764,20250224,2
48764,20250330,2
48764,20250501,2
48764,20240623,2
48764,20240624,2
48764,20240820,2
48764,20241224,2
48764,20241225,2
48764,20241226,2
48765,20250101,1
48765,20250224,1
48765,20250330,1
48765,20250501,1
48765,20240623,1
48765,20240624,1
48765,20240820,1
48765,20241224,1
48765,20241225,1
48765,20241226,1
60343,20250101,2
60343,20250224,2
60343,20250330,2
60343,20250501,2
60343,20240623,2
60343,20240624,2
60343,20240820,2
60343,20241224,2
60343,20241225,2
60343,20241226,2
63225,20250101,2
63225,20250224,2
63225,20250330,2
63225,20250501,2
63225,20240623,2
63225,20240624,2
63225,20240820,2
63225,20241224,2
63225,20241225,2
63225,20241226,2
60523,20250101,2
60523,20250224,2
60523,20250330,2
60523,20250501,2
60523,20240623,2
60523,20240624,2
60523,20240820,2
60523,20241224,2
60523,20241225,2
60523,20241226,2
59696,20250101,1
59696,20250224,1
59696,20250330,1
59696,20250501,1
59696,20240623,1
59696,20240624,1
59696,20240820,1
59696,20241224,1
59696,20241225,1
59696,20241226,1
67284,20250101,2
67284,20250224,2
67284,20250330,2
67284,20250501,2
67284,20240623,2
67284,20240624,2
67284,20240820,2
67284,20241224,2
67284,20241225,2
67284,20241226,2
67282,20250101,2
67282,20250224,2
67282,20250330,2
67282,20250501,2
67282,20240623,2
67282,20240624,2
67282,20240820,2
67282,20241224,2
67282,20241225,2
67282,20241226,2
67278,20250101,1
67278,20250224,1
67278,20250330,1
67278,20250501,1
67278,20240623,1
67278,20240624,1
67278,20240820,1
67278,20241224,1
67278,20241225,1
67278,20241226,1
66497,20250101,2
66497,20250224,2
66497,20250330,2
66497,20250501,2
66497,20240623,2
66497,20240624,2
66497,20240820,2
66497,20241224,2
66497,20241225,2
66497,20241226,2
66691,20250101,2
