route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
tallinna-lin_bus_1,"1","Viru keskus - Viimsi keskus",,3,,,,2000100
tallinna-lin_bus_2,"2","Reisisadama A-terminal - Mõigu",,3,,,,2000200
tallinna-lin_bus_3,"3","Vana-Lõuna - Randla",,3,,,,2000300
tallinna-lin_bus_4,"4","Väike-Õismäe - Tiskre",,3,,,,2000400
tallinna-lin_bus_5,"5","Männiku - Metsakooli tee",,3,,,,2000500
tallinna-lin_bus_6,"6","Merivälja pansion - Metsakooli tee",,3,,,,2000600
tallinna-lin_bus_7,"7","Seli - Sõjamäe",,3,,,,2000700
tallinna-lin_bus_8,"8","Väike-Õismäe - Äigrumäe",,3,,,,2000800
tallinna-lin_bus_9,"9","Kadaka - Priisle",,3,,,,2000900
tallinna-lin_bus_10,"10","Väike-Õismäe - Vana-Pääsküla",,3,,,,2001000
tallinna-lin_bus_11,"11","Kadaka - Kaubamaja",,3,,,,2001100
tallinna-lin_bus_12,"12","Väike-Õismäe - Priisle",,3,,,,2001200
tallinna-lin_bus_13,"13","Väike-Õismäe - Seli",,3,,,,2001300
tallinna-lin_bus_14,"14","Viru - Vana-Pääsküla",,3,,,,2001400
tallinna-lin_bus_15,"15","Estonia - Sõjamäe",,3,,,,2001500
tallinna-lin_bus_16,"16","Väike-Õismäe - Tallinn-Väike",,3,,,,2001600
tallinna-lin_bus_18,"18","Viru - Laagri",,3,,,,2001800
tallinna-lin_bus_18A,"18A","Viru - Urda",,3,,,,2001802
tallinna-lin_bus_20,"20","Reisisadama D-terminal - Pääsküla jaam",,3,,,,2002000
tallinna-lin_bus_20A,"20A","Reisisadama D-terminal - Laagri alevik",,3,,,,2002002
tallinna-lin_bus_21,"21","Balti jaam - Landi",,3,,,,2002100
tallinna-lin_bus_21A,"21A","Väike-Õismäe - Kakumäe",,3,,,,2002102
tallinna-lin_bus_21B,"21B","Balti jaam - Kakumäe",,3,,,,2002103
tallinna-lin_bus_22,"22","Väike-Õismäe - Estonia",,3,,,,2002200
tallinna-lin_bus_23,"23","Kadaka - Bussijaam",,3,,,,2002300
tallinna-lin_bus_24,"24","Kadaka - Estonia",,3,,,,2002400
tallinna-lin_bus_26,"26","Väike-Õismäe - Paljassaare",,3,,,,2002600
tallinna-lin_bus_26A,"26A","Väike-Õismäe - Paljassaare põik",,3,,,,2002602
tallinna-lin_bus_27,"27","Harkujärve - Laagri alevik",,3,,,,2002700
tallinna-lin_bus_28,"28","Vana-Lõuna - Väike-Õismäe",,3,,,,2002800
tallinna-lin_bus_29,"29","Viru keskus - Iru hooldekodu - Priisle",,3,,,,2002900
tallinna-lin_bus_30,"30","Seli - Iru - Kärmu",,3,,,,2003000
tallinna-lin_bus_31,"31","Priisle - Estonia",,3,,,,2003100
tallinna-lin_bus_32,"32","Männiku - Kopli",,3,,,,2003200
tallinna-lin_bus_33,"33","Männiku - Kopli",,3,,,,2003300
tallinna-lin_bus_34,"34","Viru keskus - Muuga aedlinn",,3,,,,2003400
tallinna-lin_bus_35,"35","Seli - Pelguranna",,3,,,,2003500
tallinna-lin_bus_36,"36","Väike-Õismäe - Viru",,3,,,,2003600
tallinna-lin_bus_37,"37","Mustamäe - Zoo",,3,,,,2003700
tallinna-lin_bus_38,"38","Viru keskus - Muuga",,3,,,,2003800
tallinna-lin_bus_39,"39","Vana-Lõuna - Liikuri",,3,,,,2003900
tallinna-lin_bus_40,"40","Viru keskus - Pelguranna",,3,,,,2004000
tallinna-lin_bus_41,"41","Balti jaam - Landi",,3,,,,2004100
tallinna-lin_bus_41B,"41B","Balti jaam - Kakumäe",,3,,,,2004103
tallinna-lin_bus_42,"42","Väike-Õismäe - Priisle",,3,,,,2004200
tallinna-lin_bus_44,"44","Viru keskus - Gaasi",,3,,,,2004400
tallinna-lin_bus_45,"45","Väike-Õismäe - Ülemiste",,3,,,,2004500
tallinna-lin_bus_46,"46","Väike-Õismäe - Seli",,3,,,,2004600
tallinna-lin_bus_47,"47","Väike-Õismäe - Bussijaam",,3,,,,2004700
tallinna-lin_bus_49,"49","Viimsi keskus - Lennujaam",,3,,,,2004900
tallinna-lin_bus_50,"50","Seli - Majaka põik",,3,,,,2005000
tallinna-lin_bus_51,"51","Viru keskus - Priisle",,3,,,,2005100
tallinna-lin_bus_54,"54","Kurina - Estonia",,3,,,,2005400
tallinna-lin_bus_55,"55","Estonia - Gaasi",,3,,,,2005500
tallinna-lin_bus_57,"57","Raudalu - Kalev",,3,,,,2005700
tallinna-lin_bus_58,"58","Priisle - Majaka põik",,3,,,,2005800
tallinna-lin_bus_59,"59","Balti jaam - Pikakari",,3,,,,2005900
tallinna-lin_bus_60,"60","Priisle - Viru keskus",,3,,,,2006000
tallinna-lin_bus_61,"61","Kotermaa - Järve haigla",,3,,,,2006100
tallinna-lin_bus_62,"62","Väike-Õismäe - Mäeküla",,3,,,,2006200
tallinna-lin_bus_63,"63","Priisle - Viru keskus",,3,,,,2006300
tallinna-lin_bus_64,"64","Väike-Õismäe - Ülemiste",,3,,,,2006400
tallinna-lin_bus_65,"65","Seli - Lennujaam",,3,,,,2006500
tallinna-lin_bus_66,"66","Priisle - Pelguranna",,3,,,,2006600
tallinna-lin_bus_67,"67","Seli - J. Sütiste tee",,3,,,,2006700
tallinna-lin_bus_72,"72","Keskuse - Kopli",,3,,,,2007200
tallinna-lin_bus_73,"73","Vana-Lõuna - Kopli liinid",,3,,,,2007300
tallinna-lin_bus_91,"91","ÖÖ Balti jaam - Mustamäe",,3,,,,2009100
tallinna-lin_bus_92,"92","ÖÖ Balti jaam - Väike-Õismäe",,3,,,,2009200
tallinna-lin_bus_93,"93","ÖÖ Balti jaam - Pelguranna",,3,,,,2009300
tallinna-lin_bus_94,"94","ÖÖ Balti jaam - Priisle",,3,,,,2009400
tallinna-lin_bus_95,"95","ÖÖ Balti jaam - Viimsi keskus",,3,,,,2009500
tallinna-lin_bus_96,"96","ÖÖ Balti jaam - Vana-Pääsküla",,3,,,,2009600
harju_regionalbus_Anija1,"Anija 1","Kehra - Anija - Kehra tee - Soodla - Lilli - Kehra",,3,,,,8900002
harju_regionalbus_Anija2,"Anija 2","Alavere - Uuearu - Vetla - Voose - Alavere",,3,,,,8900002
harju_regionalbus_Anija3,"Anija 3","Laidemaa - Lükati - Alavere",,3,,,,8900002
harju_regionalbus_Anija4,"Anija 4","Alavere - Uuearu - Vetla - Voose - Alavere",,3,,,,8900002
harju_regionalbus_Anija5,"Anija 5","Voose - Vetla - Alavere - Kehra",,3,,,,8900002
harju_regionalbus_Anija6,"Anija 6","Härmakosu - Pillapalu - Kehra",,3,,,,8900002
harju_regionalbus_H1,"H1","Vääna - Sõrve - Suurupi - Tabasalu - Harkujärve",,3,,,,8900009
harju_regionalbus_H11,"H11","Tabasalu - Muraste - Meriküla",,3,,,,8900009
harju_regionalbus_H11A,"H11A","Mäe - Naage - Vääna-Jõesuu - Muraste - Meriküla",,3,,,,8900009
harju_regionalbus_H11B,"H11B","Vääna - Suurupi - Vääna-Jõesuu - Muraste - Meriküla",,3,,,,8900009
harju_regionalbus_H2,"H2","Vääna - Sõrve - Tabasalu - Harkujärve",,3,,,,8900009
harju_regionalbus_H3,"H3","Vahi - Vääna - Kumna - Harku - Harkujärve - Tabasalu",,3,,,,8900009
harju_regionalbus_H3A,"H3A","Tabasalu - Harku - Harkujärve",,3,,,,8900009
harju_regionalbus_H4,"H4","Tabasalu - Vääna-Jõesuu-Vääna-Sõrve - Tabasalu",,3,,,,8900009
harju_regionalbus_H6,"H6","Türisalu - Humala-Vääna-Künka-Keila-Kumna-Vahi - Vääna",,3,,,,8900009
harju_regionalbus_H7,"H7","Naage - Türisalu - Humala - Vääna - Sõrve - Tabasalu",,3,,,,8900009
harju_regionalbus_H8,"H8","Keila - Kumna - Vääna - Vahi - Humala - Türisalu",,3,,,,8900009
harju_regionalbus_J10,"J10","Neeme tee - Neeme - Jõelähtme - Manniva - Rebala - Kostivere",,3,,,,8900011
harju_regionalbus_J11,"J11","Loo - Kostivere - Rebala - Manniva - Jägala-Joa - Kostivere",,3,,,,8900011
harju_regionalbus_J12,"J12","Kostivere - Neeme - Kuusalu kk",,3,,,,8900011
harju_regionalbus_J13,"J13","Loo - Kostivere-Rebala-Jõelähtme-Jägala-Raasiku - Kostivere",,3,,,,8900011
harju_regionalbus_J14,"J14","Neeme tee - Jõelähtme - Uus-Rebala - Liivamäe - Loo",,3,,,,8900011
harju_regionalbus_J15,"J15","Kallavere - Ülgase - Saviranna - Rebala - Loovälja tee - Loo",,3,,,,8900011
harju_regionalbus_J17,"J17","Loo - Liivamäe - Kallavere - Ülgase - Uus-Rebala - Kostivere",,3,,,,8900011
harju_regionalbus_J3,"J3","Kallavere - Iru - Loo",,3,,,,8900011
harju_regionalbus_J4,"J4","Manniva - Jõelähtme - Neeme tee - Kaberneeme - Kuusalu kool",,3,,,,8900011
harju_regionalbus_J5,"J5","Männisalu - Kostivere - Mõisa tee - Oja tee - Loo",,3,,,,8900011
harju_regionalbus_J6,"J6","Loo - Liivamäe - Kallavere - Rebala - Kostivere",,3,,,,8900011
harju_regionalbus_J7,"J7","Kostivere kool - Raasiku - Kodasoo - Jõelähtme - Kostivere",,3,,,,8900011
harju_regionalbus_J8,"J8","Loo - Kostivere - Vandjala - Uus-Rebala - Manniva - Neeme",,3,,,,8900011
harju_regionalbus_J9,"J9","Kostivere kool - Jõelähtme - Kostivere kool",,3,,,,8900011
harju_regionalbus_K1,"K1","GMN - Kose - Kivivõhma - Karla",,3,,,,8900012
harju_regionalbus_K10,"K10","Ardu - Paunküla - Kose",,3,,,,8900012
harju_regionalbus_K11,"K11","Tammermaa-Rõõmu-Ülesõidu-Kirik-Põhja tn-Tervisekeskus-SOS",,3,,,,8900012
harju_regionalbus_K12,"K12","Rõõmu - Raudteejaam - Kirik - Tervisekeskus - SOS",,3,,,,8900012
harju_regionalbus_K13,"K13","SOS - Tervisekeskus - Kirik - Raudteejaam - Rõõmu - Tammermaa",,3,,,,8900012
harju_regionalbus_K14,"K14","Rõõmu-Raudteejaam-Kirik-Põhja-Tervisekeskus-Karjaküla-SOS",,3,,,,8900012
harju_regionalbus_K17,"K17","Oru - Kose Algkool - Kose GMN - Kose-Risti - Vardja",,3,,,,8900012
harju_regionalbus_K18,"K18","Oru - Kose",,3,,,,8900012
harju_regionalbus_K2,"K2","Kose - Ravila - Palvere - Vilama",,3,,,,8900012
harju_regionalbus_K3,"K3","Kose - Habaja - Kuimetsa - Kaiu",,3,,,,8900012
harju_regionalbus_K4,"K4","GMN - Kose - Viskla - Algkool - GMN - Kose",,3,,,,8900012
harju_regionalbus_K5,"K5","Kose GMN - Habaja - Alansi - Kanavere - Saula - Oru",,3,,,,8900012
harju_regionalbus_K6,"K6","Kose - Alavere - Kehra",,3,,,,8900012
harju_regionalbus_K7,"K7","Ardu - Kiruvere - Paunküla - Kõue - Virla - Kõue - Kose",,3,,,,8900012
harju_regionalbus_K8,"K8","Kose - Gümnaasium - Ojasoo - Virla - Kõue - Ardu",,3,,,,8900012
harju_regionalbus_K9,"K9","Kose - Tuhala - Oru - Saula - Algkool - GMN",,3,,,,8900012
harju_regionalbus_KV1,"KV1","Risti - Audevälja-Padise-Tammi-Põllküla-Klooga-Laulasmaa",,3,,,,8900012
harju_regionalbus_KV2,"KV2","Keila - Karjaküla - SOS lasteküla - Klooga - Laulasmaa",,3,,,,8900012
harju_regionalbus_KV3,"KV3","Ülase - Karjaküla-Keila-Ohtu-Lehola-Klooga - Laulasmaa",,3,,,,8900012
harju_regionalbus_L1,"L1","Vanasilla - Sillaotsa - Urda jaam - Vanasilla",,3,,,,8900013
harju_regionalbus_P1,"P1","Padise - Rummu - Ämari - Vasalemma - Padise - Hatu- Risti kool",,3,,,,8900017
harju_regionalbus_P2,"P2","Tammi - Madise-Padise-Metsarahu-Audevälja - Risti kool",,3,,,,8900017
harju_regionalbus_P3,"P3","Risti kool - Kurkse sadam - Risti kool",,3,,,,8900017
harju_regionalbus_P4,"P4","Klooga - Raudkotka - Põllküla - Paldiski",,3,,,,8900017
harju_regionalbus_P5,"P5","Hatu - Risti - Vasalemma - Ämari - Paldiski",,3,,,,8900017
harju_regionalbus_R1,"R1","Annuse - Mõigu - Assaku - Kurna - Jüri Gümnaasium",,3,,,,8900019
harju_regionalbus_R10,"R10","Järveküla - Mõigu - Peetri - Krati - Järveküla - Kindluse",,3,,,,8900019
harju_regionalbus_R10A,"R10A","Järveküla - Mõigu - Peetri - Järveküla - Kindluse",,3,,,,8900019
harju_regionalbus_R11,"R11","Lagedi kool - Lagedi - Kesa - Jüri Gümnaasium",,3,,,,8900019
harju_regionalbus_R11A,"R11A","Jüri Gümnaasium - Pajupea - Tuulevälja - Lagedi kool",,3,,,,8900019
harju_regionalbus_R12,"R12","Lagedi kool - Tuulevälja - Seli - Pajupea - Jüri Gümnaasium",,3,,,,8900019
harju_regionalbus_R12A,"R12A","Jüri Gümnaasium - Jüri tee - Lagedi kool",,3,,,,8900019
harju_regionalbus_R13,"R13","Jüri Gümnaasium - Vaadi - Lagedi - Lagedi kool",,3,,,,8900019
harju_regionalbus_R14,"R14","Männimetsa - Kinduse - Järveküla",,3,,,,8900019
harju_regionalbus_R2,"R2","Jüri Gümnaasium - Seli - Lagedi kool",,3,,,,8900019
harju_regionalbus_R3,"R3","Aruvalla - Veskitaguse - Vaida - Jüri GMN",,3,,,,8900019
harju_regionalbus_R4,"R4","Salu - Urvaste - Suursoo - Puraviku - Patiku - Aaviku - GMN",,3,,,,8900019
harju_regionalbus_R5,"R5","Suursoo - Veskitaguse - Urvaste - Ellaku - Vaida",,3,,,,8900019
harju_regionalbus_R6,"R6","Uuesalu - Peetri kool",,3,,,,8900019
harju_regionalbus_R7,"R7","Rae - Kindluse - Järveküla - Peetri kool",,3,,,,8900019
